,sent,received
0,0j,(2.7625068153423724+19j)
1,(0.2363971719742154-0.2363971719742154j),(0.2099937271397469-0.1703322879201575j)
2,(-0.2363971719742154+1.181985859871077j),(-0.17886519675253837+1.2953480110473172j)
3,(-0.2363971719742154+0.2363971719742154j),(-0.2886726661485701+0.2505543891377512j)
4,(0.7091915159226462+0.7091915159226462j),(0.8001641600704188+0.757198090945711j)
5,(-0.2363971719742154-1.181985859871077j),(-0.16457239668565954-1.1566481456056534j)
6,(-0.7091915159226462-1.181985859871077j),(-0.6860629173575516-1.1458922954320798j)
7,(0.7091915159226462+0.7091915159226462j),(0.6453383621219868+0.6759301883434747j)
8,(0.2363971719742154+0.2363971719742154j),(0.12132870703019373+0.16982415175297538j)
9,(-1.181985859871077+0.7091915159226462j),(-1.1694680462965794+0.4853825149335308j)
10,(0.7091915159226462+1.181985859871077j),(0.6479064427091098+1.0269621389603336j)
